Headline,Source,Posted,Description,Link
"Analyst Slashes Plug Power Price Target, but There's Still 100% Upside Potential Baked In | The...",The Motley Fool,2 days ago,"While calling Plug a ""compelling growth story,"" B. Riley analyst Christopher Souther cut his price...",https://www.fool.com/investing/2021/05/17/analyst-slashes-plug-power-price-target-but-theres/
PLUG Stock: The Big Update That Has Plug Power Soaring Today,InvestorPlace,5 days ago,"Today, investors in Plug Power (NASDAQ:PLUG) and PLUG stock are seeing a lot of green. Shares of...",https://investorplace.com/2021/05/plug-stock-the-big-update-that-has-plug-power-soaring-today/
Plug Power Completes Restatement of Previously Issued Financial Statements and Files 2020 Annual...,StreetInsider,1 day ago,"Plug Power Inc. (“Plug Power” or the “Company”) (NASDAQ: PLUG), a leading provider of turnkey hydrogen solutions building ...",http://www.streetinsider.com/Globe+Newswire/Plug+Power+Completes+Restatement+of+Previously+Issued+Financial+Statements+and+Files+2020+Annual+Report/18420090.html
Wall Street Thinks Plug Power Has 134% Upside: Here's Why They're Too Optimistic,Motley Fool,3 days ago,A global push toward clean energy sources has brought clean energy and related technology companies...,https://www.fool.com/investing/2021/05/17/wall-street-thinks-plug-power-has-134-upside-heres/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo
There’s No Good Reason to Buy Plug Power Stock Right Now,InvestorPlace,6 days ago,"The magic has finally worn off for companies like Plug Power (NASDAQ:PLUG). As a result, PLUG stock...",https://investorplace.com/moneywire/2021/05/theres-no-good-reason-to-buy-plug-stock-right-now/
Why Plug Power Stock Popped Again Thursday | The Motley Fool,The Motley Fool,7 days ago,Investors can't quite make up their minds about shares of Plug Power (NASDAQ:PLUG) this week. After...,https://www.fool.com/investing/2021/05/13/why-plug-power-popped-again-thursday/
Expert Ratings for Plug Power,Benzinga,3 days ago,"Within the last quarter, Plug Power (NASDAQ:PLUG) has observed the following analyst ratings: Last 30 Days 1 Month Ago 2 Months Ago 3 Months Ago Bullish...",https://www.benzinga.com/analyst-ratings/21/05/21152749/expert-ratings-for-plug-power
"Plug Power restates earnings, says demand is surging for its hydrogen fuel cells - Albany Business...",The Business Journals,5 days ago,"Plug Power expects to install more than 10,000 GenDrive fuel cells at 60 factories and distribution...",https://www.bizjournals.com/albany/news/2021/05/14/plug-power-fuel-cell-demand-surges-for-2021.html
"Plug Power Inc. stock rises Monday, outperforms market",Market Watch,2 days ago,"Shares of Plug Power Inc. rallied 1.46% to $24.94 Monday, on what proved to be an all-around rough...",https://www.marketwatch.com/story/plug-power-inc-stock-rises-monday-outperforms-market-01621286270-329d3cd1ad78
Morning Bell With Jim Cramer: Coinbase and Crypto,TheStreet.com,3 days ago,"Jim Cramer talks stock market news, including how to trade Plug Power; Coinbase and crypto, and inflation in the economy. Stock futures traded lower...",https://www.thestreet.com/jim-cramer/morning-bell-with-jim-cramer-plug-power-coinbase-crypto-economy-markets
What's Going On With Plug Power And FuelCell Today?,Benzinga,1 day ago,Plug Power Inc (NASDAQ:PLUG) shares are trading higher by ...,https://www.benzinga.com/trading-ideas/long-ideas/21/05/21182978/whats-going-on-with-plug-power-and-fuelcell-today
Plug Power Inc. stock outperforms competitors despite losses on the day,Market Watch,6 days ago,"Shares of Plug Power Inc. slipped 1.26% to $21.96 Thursday, on what proved to be an all-around...",https://www.marketwatch.com/story/plug-power-inc-stock-outperforms-competitors-despite-losses-on-the-day-01620940624-e02077033cf5
"Jim Cramer on Disney, Coinbase, Plug Power, Markets Friday",TheStreet.com,6 days ago,"Jim Cramer and Katherine Ross discuss Disney and Coinbase earnings, why he likes Plug Power, his...",https://www.thestreet.com/jim-cramer/stock-market-advice-cramer-live-dis-coin-plug-masks-may-14
Plug Power Inc. stock outperforms market on strong trading day,Market Watch,5 days ago,"Shares of Plug Power Inc. jumped 11.93% to $24.58 Friday, on what proved to be an all-around...",https://www.marketwatch.com/story/plug-power-inc-stock-outperforms-market-on-strong-trading-day-01621027019-6d0f10401b79
Plug Power stock soars as restatement removes overhang of uncertainty,Market Watch,6 days ago,"Shares of Plug Power Inc. surged Friday, after the hydrogen and fuel cell systems company completed...",https://www.marketwatch.com/story/plug-power-stock-soars-as-restatement-removes-overhang-of-uncertainty-11620996549
Plug Power Found Accounting Problems. Here's Why the Stock Is Soaring.,Barron s Online,5 days ago,Hydrogen fuel cell technology partner Plug Power found a “material weakness” in its accounting. For...,https://www.barrons.com/articles/plug-power-found-accounting-problems-heres-why-the-stock-is-soaring-51621015476
7 Stocks Equipped to Handle America's Electric Vehicle Charging Needs,InvestorPlace,11 hours ago,There are many electric vehicle (EV) manufacturers operating today making a growing number of...,https://investorplace.com/2021/05/7-stocks-equipped-to-handle-americas-electric-vehicle-charging-needs/
Plug Power Pops on Restatement By Investing.com,Investing.com,6 days ago,Plug Power Pops on Restatement,https://www.investing.com/news/stock-market-news/plug-power-pops-on-restatement-2506905
Plug Power Pops on Restatement By Investing.com,Investing.com,5 days ago,Plug Power Pops on Restatement,https://ca.investing.com/news/stock-market-news/plug-power-pops-on-restatement-2440938
Plug Power to Bring Wind-Powered Hydrogen Plant to Fort Worth,Bloomberg,5 days ago,"Plug Power Inc. plans to open a hydrogen-production plant powered by the wind near Fort Worth, Texas...",https://www.bloomberg.com/news/articles/2021-05-14/plug-power-to-bring-wind-powered-hydrogen-plant-to-fort-worth
What's Up With Plug Power Today?,Benzinga,3 days ago,Plug Power Inc (NASDAQ:PLUG) shares are trading modestly l...,https://www.benzinga.com/trading-ideas/short-ideas/21/05/21149631/whats-up-with-plug-power-today
"Plug Power Completes Restatements, Files 2020 Report",Market Watch,6 days ago,"By Chris Wack Plug Power Inc. restated its financial statements for fiscal years 2018 and 2019 and its quarterly filings for 2019 and 2020, and filed Form...",https://www.marketwatch.com/story/plug-power-completes-restatements-files-2020-report-271620989719
Plug Power Was a Pandemic Winner. How It Became a 2021 Loser.,Barrons.com,3 days ago,It turns out that earnings really do matter—even for a once-hot hydrogen play like Plug Power. That...,https://www.barrons.com/articles/cummins-gets-an-upgrade-as-analysts-cool-on-plug-power-what-a-difference-a-year-makes-51621267472?siteid=yhoof2&yptr=yahoo
Plug Power Shares Rise 9% After Restating Financial Statements,Market Watch,5 days ago,Plug Power Inc. shares were up 9% to $23.82 Friday after the company said it restated its financial statements for fiscal years 2018 and 2019 and its quarterly ...,https://www.marketwatch.com/story/plug-power-shares-rise-9-after-restating-financial-statements-271621013014
"5 Risky Stocks With 138% to 216% Upside, According to Wall Street | The Motley Fool",The Motley Fool,3 days ago,First up is hydrogen fuel-cell solutions provider Plug Power (NASDAQ:PLUG). Down roughly 70% from...,https://www.fool.com/investing/2021/05/17/5-risky-stocks-with-138-to-216-upside-wall-street/
"Plug Power Finalizes Reissued Financial Statements, Files 2020 Annual Report",Motley Fool,6 days ago,"For Plug Power (NASDAQ: PLUG) investors, the wait is over. The company announced that it has...",https://www.fool.com/investing/2021/05/14/plug-power-finalizes-reissued-financial-statements/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo
"Analyst Slashes Plug Power Price Target, but There's Still 100% Upside Potential Baked In",Motley Fool,2 days ago,"While calling Plug a ""compelling growth story,"" B. Riley analyst Christopher Souther cut his price...",https://www.fool.com/investing/2021/05/17/analyst-slashes-plug-power-price-target-but-theres/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo
Why Plug Power Stock Popped Again Thursday,Motley Fool,7 days ago,Investors can't quite make up their minds about shares of Plug Power (NASDAQ: PLUG) this week. After the company released its first-quarter earnings...,https://www.fool.com/investing/2021/05/13/why-plug-power-popped-again-thursday/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo
Electric Vehicle Checkpoint: Tesla May Be Losing Its Lead in the EV Market,TheStreet.com,12 hours ago,Bitcoin bounced from multi-month lows Wednesday after Tesla (TSLA) - Get Report founder and CEO Elon...,https://www.thestreet.com/investing/electric-vehicle-checkpoint-tesla-may-be-losing-its-lead-in-the-ev-market
"Fuel Cell Stocks: Why FCEL, BE and PLUG Stocks Are Gaining Today",InvestorPlace,5 days ago,"Today, fuel cell stocks are all catching a bid. Indeed, the entire hydrogen fuel cell space is one...",https://investorplace.com/2021/05/fuel-cell-stocks-why-fcel-be-and-plug-stocks-are-gaining-today/
"4 Large-Cap Stocks That Turned $200,000 Into $1 Million (or More) in 1 Year",Motley Fool,5 days ago,"For patient investors, fortunes have been made over the past year and change. Plug Power also...",https://www.fool.com/investing/2021/05/15/4-large-cap-stocks-turned-200000-into-1-million/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo
Implied Volatility Surging for Plug Power (PLUG) Stock Options,Zacks via Yahoo Finance,7 days ago,Investors in Plug Power Inc. PLUG need to pay close attention to the stock based on moves in the...,https://finance.yahoo.com/news/implied-volatility-surging-plug-power-122312463.html
Plug Power (PLUG) Completes Restatement of Previously Issued Financial Statements and Files 2020...,StreetInsider,6 days ago,"Plug Power Inc. (“Plug Power” or the “Company”) (NASDAQ: PLUG), a leading provider of turnkey hydrogen solutions building ...",https://www.streetinsider.com/Corporate+News/Plug+Power+%28PLUG%29+Completes+Restatement+of+Previously+Issued+Financial+Statements+and+Files+2020+Annual+Report/18420114.html
Plug Power stock soars as restatement removes overhang of uncertainty,MarketWatch,6 days ago,"Shares of Plug Power Inc. surged Friday, after they hydrogen and fuel cell systems company completed...",https://www.marketwatch.com/story/plug-power-stock-soars-as-restatement-removes-overhang-of-uncertainty-11620996549?siteid=yhoof2&yptr=yahoo
Plug Power stock soars as restatement removes overhang of uncertainty,Morningstar,5 days ago,"Shares of Plug Power Inc. surged Friday, after the hydrogen and fuel cell systems company completed its restatement, removing a ""shroud of uncertainty"" ...",https://www.morningstar.com/news/marketwatch/20210514518/plug-power-stock-soars-as-restatement-removes-overhang-of-uncertainty
"4 Large-Cap Stocks That Turned $200,000 Into $1 Million (or More) in 1 Year | The Motley Fool",The Motley Fool,5 days ago,"For patient investors, fortunes have been made over the past year and change. In the wake of the...",https://www.fool.com/investing/2021/05/15/4-large-cap-stocks-turned-200000-into-1-million/
Plug Power Higher After Completing Earnings Restatement,TheStreet.com,6 days ago,Plug Power had said in March that it had discovered mistakes in its past earnings reports. Plug said the restatements had no effect on its cash position ...,https://www.thestreet.com/investing/plug-power-earnings-restatement-completed-stock-up?puc=yahoo&cm_ven=YAHOO&yptr=yahoo
"Plug Power: Key Growth Drivers Remain Intact, Says Analyst",TipRanks via Yahoo Finance,2 days ago,"On Friday, PLUG said the restatement was done, and the key areas noted were indeed non-cash related....",https://finance.yahoo.com/news/plug-power-key-growth-drivers-212145117.html
The Nasdaq's Soaring and Investors Are Watching These 2 Winning Stocks | The Motley Fool,The Motley Fool,5 days ago,"The stock market continued to move higher on Friday, building on its rebound from heavy losses...",https://www.fool.com/investing/2021/05/14/nasdaq-soaring-investors-watching-2-winning-stocks/
"Jim Cramer on Disney, Coinbase, Plug Power, Unmasking Friday's Rally",TheStreet.com,6 days ago,"Analysts were expecting Disney to report earnings of 26 cents per share on revenue of $15.86 billion. ""We're pleased to see more encouraging signs of recovery across our businesses, and we remain ...",https://www.thestreet.com/jim-cramer/stock-market-advice-cramer-live-dis-coin-plug-masks-may-14?puc=yahoo&cm_ven=YAHOO&yptr=yahoo
"Cramer's Mad Money Recap: Walmart, Norwegian, Disney",TheStreet.com,1 day ago,Jim Cramer says interest has shifted from stay-at-home stocks to travel and leisure. The baton has been passed from the stay-at-home stocks to the travel...,https://www.thestreet.com/jim-cramer/cramers-mad-money-recap-may-18-2021
Morning Bell With Jim Cramer: Coinbase and Crypto,TheStreet.com,3 days ago,"TheStreet's Katherine Ross and Cramer are talking about how to trade Plug Power, Coinbase and crypto and inflation in the economy. Plug",https://www.thestreet.com/jim-cramer/morning-bell-with-jim-cramer-plug-power-coinbase-crypto-economy-markets?puc=yahoo&cm_ven=YAHOO&yptr=yahoo
"Retail Reports, Fed Minutes, NYC Welcomes You: 3 Things to Watch By Investing.com",Investing.com,1 day ago,"Retail Reports, Fed Minutes, NYC Welcomes You: 3 Things to Watch",https://uk.investing.com/news/stock-market-news/retail-reports-fed-minutes-nyc-welcomes-you-3-things-to-watch-2376579
Plug Power Found Accounting Problems. Here’s Why the Stock Is Soaring.,Barrons.com,5 days ago,Hydrogen fuel cell technology partner (PLUG) found a “material weakness” in its accounting. The...,https://www.barrons.com/articles/plug-power-found-accounting-problems-heres-why-the-stock-is-soaring-51621015476?siteid=yhoof2&yptr=yahoo
'No back pain whatsoever': This comfy queen-size mattress is a dreamy $130 at Amazon,Yahoo Life Shopping,4 hours ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.yahoo.com/lifestyle/linenspa-mattress-110059002.html
"5 Top Stock Gainers for Friday: Dillard's, Plug Power, DoorDash",TheStreet.com,6 days ago,Stocks were climbing Friday as Wall Street's concerns about inflation appeared to ease up. Shares of Dillard's were surging after the department store operator swung to a first-quarter profit ...,https://www.thestreet.com/investing/5-top-stock-gainers-for-friday-dillards-plug-power-doordash?puc=yahoo&cm_ven=YAHOO&yptr=yahoo
Electric Vehicle Checkpoint: Tesla May Be Losing Its Lead in the EV Market,TheStreet.com,16 hours ago,Bitcoin bounced from multi-month lows Wednesday after Tesla founder and CEO Elon Musk indicated his clean energy car company could hold its billion-dollar position in the world's biggest digital ...,https://www.thestreet.com/investing/electric-vehicle-checkpoint-tesla-may-be-losing-its-lead-in-the-ev-market?puc=yahoo&cm_ven=YAHOO&yptr=yahoo
The Nasdaq's Soaring and Investors Are Watching These 2 Winning Stocks,Motley Fool,5 days ago,Airbnb (NASDAQ: ABNB) initially lost ground after it reported its first-quarter financial results...,https://www.fool.com/investing/2021/05/14/nasdaq-soaring-investors-watching-2-winning-stocks/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo
Electric Vehicle Checkpoint: Tesla Remains Under Pressure,TheStreet.com,7 days ago,"See the latest news for the top stocks in the electric vehicle space including Ford, General Motors,...",https://www.thestreet.com/investing/electric-vehicle-checkpoint-tesla-under-pressure-as-stocks-slide
How Far Can Cardano (ADA) Rise? The Best ‘Green Coins’ to Buy.,InvestorPlace via Yahoo Finance,6 days ago,The red-hot cryptocurrency market has cooled off over past the 48 hours after one of the industry’s...,https://finance.yahoo.com/news/far-cardano-ada-rise-best-154639597.html
These top-notch wireless earbuds rival Airpods — and they're on sale for $23 at Amazon,Yahoo Entertainment via AOL,6 hours ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.aol.com/top-notch-wireless-earbuds-rival-214334715.html
This $21 webcam auto-adjusts lighting so you look mahvelous — grab it while it's 40 percent off,Yahoo Life Shopping,13 hours ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.yahoo.com/lifestyle/gesma-webcam-sale-150113753.html
Most Successful Penny Stocks Ever,MSN News,4 days ago,"A penny stock is technically any stock trading for below $5 per share, although some actually trade for pennies per share. Penny stocks are generally...",https://www.msn.com/en-us/money/savingandinvesting/most-successful-penny-stocks-ever/ss-BB1fDNCR?parent-title=how-early-is-this-business-cycle-anyway&parent-ns=ar&parent-content-id=BB1ge4Ck&fullscreen=true
10 Small-Cap Stocks With Huge Growth Potential,Insider Monkey via Yahoo Finance,3 days ago,"In this article, we will take a look at the 10 small-cap stocks with huge growth potential. You can skip our comprehensive analysis of these stocks and...",https://finance.yahoo.com/news/10-small-cap-stocks-huge-135316596.html
"If You Invested $1,000 In FuelCell Energy Stock One Year Ago, Here's How Much You'd Have Now",Benzinga,1 day ago,Investors who have owned stocks in the past year have generally experienced some big gains....,https://www.benzinga.com/general/education/21/05/21158641/if-you-invested-1-000-in-fuelcell-energy-stock-one-year-ago-heres-how-much-youd-have-now
How Far Can Cardano (ADA) Rise? The Best 'Green Coins' to Buy.,InvestorPlace,6 days ago,The red-hot cryptocurrency market has cooled off over past the 48 hours after one of the industry’s...,https://investorplace.com/hypergrowthinvesting/2021/05/how-far-can-cardano-ada-rise-the-best-green-coins-to-buy/
What QuantumScape and the Internet Pioneers Have in Common,InvestorPlace,7 days ago,"In many ways, investing in QuantumScape (NYSE:QS) stock now would be similar to buying shares of an...",https://investorplace.com/2021/05/what-quantumscape-and-the-internet-pioneers-have-in-common/
"HYLN Stock Has a Good Story, but It’s Too Risky at These Prices",InvestorPlace,2 days ago,"Additionally, investors remain skeptical about growth stocks in general and electric-vehicle stocks...",https://investorplace.com/2021/05/hyliion-stock-has-a-good-story-but-its-too-risky-at-these-prices/
Is Bitcoin Bad for the Environment? Maybe. Why You Should Buy These Altcoins Instead.,InvestorPlace,6 days ago,One of Bitcoin’s (CCC:BTC-USD) biggest and most vocal supporters — Tesla (NASDAQ:TSLA) CEO Elon Musk...,https://investorplace.com/hypergrowthinvesting/2021/05/is-bitcoin-bad-for-the-environment-maybe-why-you-should-buy-these-green-coins-instead/
A green bubble? We dissect the investment boom,The Economist,5 days ago,"Copper has reached a record, partly owing to its importance for the energy transition; the price of carbon in Europe has also hit a peak. To analyse the...",https://www.economist.com/finance-and-economics/2021/05/17/green-assets-are-on-a-wild-ride
Electric Vehicle Checkpoint: Tesla Remains Under Pressure,TheStreet.com,7 days ago,"Tesla stock is back under pressure. Despite CEO Elon Musk's appearance on ""Saturday Night Live"" or the reports that Tesla is sold out for the quarter, investors just aren't buying the stock.",https://www.thestreet.com/investing/electric-vehicle-checkpoint-tesla-under-pressure-as-stocks-slide?puc=yahoo&cm_ven=YAHOO&yptr=yahoo
"'Blown away': Amazon just knocked the Roku Ultra down to $69, an all-time low",Yahoo Life,1 day ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.yahoo.com/lifestyle/roku-ultra-deal-202522470.html
"MicroVision May Be Disruptive, But Don't Buy MVIS Stock Yet",InvestorPlace,3 days ago,"In some ways, MicroVision (NASDAQ:MVIS) stock reminds me of GameStop (NYSE:GME). Instead, I think...",https://investorplace.com/2021/05/microvision-may-be-disruptive-but-dont-buy-mvis-stock-yet/
Just in time for Memorial Day: This wildly popular digital meat thermometer is on sale for just $9!,Yahoo Life Shopping,1 day ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.yahoo.com/lifestyle/thermopro-tp03-meat-thermometer-sale-001815811.html
"Nikola Corp (NKLA): Price Down $-0.44 (-3.5)% Over Past Day, Down $-0.32 (-2.54)% Over Past Hour",ETF DAILY NEWS,7 days ago,"At the time of this writing, NKLA (Get Ratings)’s price is down $-0.32 (-2.54%) from the hour prior. The hourly chart shows that NKLA has seen 3 straight down hours. As for the trend on the ...",https://etfdailynews.com/news/nikola-corp-nkla-price-down-0-44-3-5-over-past-day-down-0-32-2-54-over-past-hour/
Hood River Capital Management,Guru Focus,3 days ago,GuruFocus Article or News written by insider and the topic is about:,http://www.gurufocus.com/news/1430455/hood-river-capital-management-llc-buys-ichor-holdings-purple-innovation-inc-ammo-inc-sells-lumentum-holdings-inc-talend-sa-planet-fitness-inc
"Amazon is having a massive sale this weekend — here are the highlights, starting at just $7",Yahoo Life Shopping,5 days ago,"Amazon is having a huge weekend-long sale on tech, fashion, beauty, home items and more, so no...",https://www.yahoo.com/lifestyle/best-weekend-sales-amazon-010244265.html
Energy Opporutunities Capital - GuruFocus.com,Guru Focus,2 days ago,GuruFocus Article or News written by insider and the topic is about:,http://www.gurufocus.com/news/1432350/energy-opporutunities-capital-management-llc-buys-halliburton-co-bp-plc-cactus-inc-sells-enphase-energy-inc-quanta-services-inc-plug-power-inc
"Walmart, Macy’s, Home Depot, AT&T: What to Watch When the Stock Market Opens Today",The Wall Street Journal,2 days ago,"U.S. stock futures edged higher, pointing to tepid gains for major indexes at the opening bell after...",https://www.wsj.com/articles/at-t-mongodb-aon-what-to-watch-when-the-stock-market-opens-today-11621334825?siteid=yhoof2&yptr=yahoo
"Is FuelCell Energy A Buy As The Hydrogen Economy Grows? See Earnings, FCEL Stock Chart",Investor's Business Daily,1 day ago,FuelCell Energy reported Q1 results that fell short of Wall Street estimates despite interest in...,https://www.investors.com/research/fuelcell-energy-fcel-stock-buy-now/?src=A00220&yptr=yahoo
Utah Retirement Systems Buys A,Guru Focus,2 days ago,GuruFocus Article or News written by insider and the topic is about:,http://www.gurufocus.com/news/1432194/utah-retirement-systems-buys-avalonbay-communities-inc-camden-property-trust-unity-software-inc-sells-udr-inc-apartment-income-reit-corp-marvell-technology-inc
Psst! Amazon’s secret outlet has major deals — save up to 55 percent,Yahoo Life Shopping,2 days ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.yahoo.com/lifestyle/amazon-outlet-sale-215730810.html
Apple AirPods Pro are back in stock at Amazon — and they're marked down to just $197,Yahoo Entertainment,2 days ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.yahoo.com/lifestyle/apple-airpods-pro-sale-192619896.html
Always losing your keys? This fingerprint-activated smart lock is down to its lowest price ever at...,Yahoo Life Shopping,2 days ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.yahoo.com/lifestyle/eufy-smart-touch-keyless-entry-door-lock-162306129.html
"REGN - Stock quote for REGENERON PHARMACEUTICALS, INC. - MSN Money",MSN News,5 days ago,"View the latest REGN stock quote and chart on MSN Money. Dive deeper with interactive charts and top stories of REGENERON PHARMACEUTICALS, INC..",https://www.msn.com/en-us/money/stockdetails/nas-regn/fi-a21uim?symbol=REGN&form=PMIDTG
National Pension Service Buys,Guru Focus,6 days ago,GuruFocus Article or News written by insider and the topic is about:,http://www.gurufocus.com/news/1427751/national-pension-service-buys-international-flavors--fragrances-inc-ally-financial-inc-carnival-corp-sells-sp-500-etf-trust-etf-vanguard-sp-500-etf-black-knight-inc
Inflatable swimming pools can keep your family cool during the summer heat,Staten Island Advance,6 days ago,The summer heat is just around the corner. Inflatable pools are very inexpensive and will last years if you take care of them. Here are the five top-selling inflatable pools on Wayfair’s site ...,https://www.silive.com/shopping-deals/2021/05/inflatable-swimming-pools-can-keep-your-family-cool-during-the-summer-heat.html
This sleek laptop stand eases neck and shoulder pain — and it's on sale for $18 at Amazon,Yahoo Life Shopping,3 days ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.yahoo.com/lifestyle/soqool-laptop-stand-sale-212739311.html
‘Clean freak approved’: This top-rated robot vac is $120 off right now at Amazon,Yahoo Life Shopping,2 days ago,"Bulb, $11 with on-page coupon (was $19), amazon.com EverCross Electric Scooter, $329 with on-page...",https://www.yahoo.com/lifestyle/eufy-boost-iq-robo-vac-30-sale-193622669.html
Nomura Asset Management Co Ltd,Guru Focus,3 days ago,GuruFocus Article or News written by insider and the topic is about:,http://www.gurufocus.com/news/1429347/nomura-asset-management-co-ltd-buys-vanguard-shortterm-government-bond-etf-pinterest-inc-zoom-video-communications-inc-sells-danaher-corp-thermo-fisher-scientific-inc-honeywell-international-inc
Capital International Inc Buy,Guru Focus,3 days ago,GuruFocus Article or News written by insider and the topic is about:,http://www.gurufocus.com/news/1429312/capital-international-inc--buys-bank-of-america-corp-dollar-general-corp-dun--bradstreet-holdings-inc-sells-costco-wholesale-corp-cable-one-inc-american-tower-corp
Capital International Investor - GuruFocus.com,Guru Focus,3 days ago,GuruFocus Article or News written by insider and the topic is about:,http://www.gurufocus.com/news/1429282/capital-international-investors-buys-dollar-general-corp-conocophillips-discover-financial-services-sells-costco-wholesale-corp-verizon-communications-inc-truist-financial-corp
